,datetime,Maesang (Cakalang),Deho (Tongkol),Malalugis (Layang),Tude (Selar),B. Tuna (Panitang),sst_dailymean (C),chlorofil_dailymean (mg/m^3),eastward_seawater_dailymean (m/s),northward_seawater_dailymean (m/s),eastward_wind_dailymean (m/s),northward_wind_dailymean (m/s),season,wind_magnitude_dailymean (m/s),wind_direction,seawater_magnitude_dailymean (m/s),seawater_direction
0,1/4/2018,1320,1650,680,0,1150,29.31285307,0.191308735,0.0286874,-0.075511513,-4.5572847,-2.767206414,Barat,5.331629692180134,South West,0.0807771967470348,South
1,1/5/2018,4060,2360,1470,0,1070,29.32928679,0.171731823,-0.056633634,0.01312296,-6.044079014,-1.501644365,Barat,6.22782682212756,West,0.05813416017461297,West
2,1/6/2018,9700,4690,5150,0,4360,29.26642714,0.164844177,-0.078301774,0.149933078,-6.126053614,1.050582376,Barat,6.215485195088495,West,0.16914814716721305,North West
3,1/7/2018,10710,6160,2680,0,4450,29.18571036,0.187319346,-0.021493751,0.245761193,-5.290940614,-1.605701936,Barat,5.529225197814685,West,0.24669930141131985,
4,1/8/2018,8180,5200,2000,0,3990,29.364286,0.183835185,0.075337122,0.20743867,-3.340755314,-3.694750014,Barat,4.981146829192273,South West,0.2206954547846688,
5,1/9/2018,10250,1840,1740,0,4780,29.0985695,0.178056448,0.137464084,0.165802701,-4.025124243,-1.778565246,Barat,4.400558999248318,South West,0.2153762058558337,North East
6,1/10/2018,3940,4430,1850,0,1250,28.87571286,0.180333972,0.13960038,0.139600381,-2.72487675,-1.405591235,Barat,3.0660463177518023,South West,0.19742475141554455,North East
7,1/11/2018,3360,3360,1560,0,1620,29.2964325,0.166688114,0.094781772,0.130532029,-1.838338007,-0.673900277,Barat,1.957965324340911,West,0.16131396374250068,North East
8,1/12/2018,25460,14300,5710,60,10980,29.2471445,0.165598927,0.091729918,0.132232341,1.02375027,-2.664092224,Barat,2.854023824936004,South,0.16093405439069447,North East
9,1/13/2018,29944,19775,9550,0,15565,29.1892875,0.161908258,0.113092874,0.14069033,4.031607329,0.302262656,Barat,4.042922256049291,East,0.1805097424104549,North East
10,1/14/2018,2980,3155,1050,0,1310,29.14999607,0.167581393,0.191481848,0.172080793,1.053485256,-0.222013935,Barat,1.0766249913240775,East,0.2574433868503985,North East
11,1/15/2018,3528,539,453,0,1425,28.75857107,0.160093789,0.317436091,0.132886309,6.661442086,-0.381428688,Barat,6.672353296188792,East,0.34412852684571754,North East
12,1/16/2018,10561,1135,1550,0,5673,28.86999729,0.163654071,0.340978946,0.09098876,4.616867471,-0.375822915,Barat,4.632138610643795,East,0.35291018129491325,East
13,1/17/2018,7020,3820,1185,0,2980,28.80143079,0.174694034,0.281337063,0.008632377,3.508002364,-2.386793957,Barat,4.242978432540202,South East,0.2814694671720826,East
14,1/18/2018,6520,1890,545,0,2620,28.63571157,0.179155757,0.159350215,0.030605704,0.398711769,-2.563592121,Barat,2.5944123877272074,South,0.1622627503091262,East
15,1/19/2018,11475,7450,5586,60,5448,28.87714286,0.184566605,0.088329286,0.13245033,0.388249889,-2.078232714,Barat,2.114187595708649,South,0.1592016101752074,North East
16,1/20/2018,21517,13930,5680,255,9990,28.80856971,0.179371029,0.152723341,0.162096885,2.212985736,-2.507318543,Barat,3.3442416395666004,South East,0.2227101681848081,North East
17,1/21/2018,9000,5020,2090,0,4532,28.70285893,0.184136931,0.276061716,0.105942824,3.789170929,-2.479181779,Barat,4.528151788810124,South East,0.2956923282703825,East
18,1/22/2018,13374,5560,2830,0,8433,28.90357093,0.173309683,0.290710589,0.040676815,2.866945564,-0.85676237,Barat,2.9922263660337087,East,0.2935425860676286,East
19,1/23/2018,3000,2970,1170,0,830,29.01499279,0.173538342,0.221738769,0.027423065,1.200509357,-0.417138688,Barat,1.2709159693980223,East,0.22342807829731157,East
20,1/24/2018,6920,6740,2190,0,4060,29.4742845,0.17179203,0.246545961,0.018616288,0.548223488,-2.484625871,Barat,2.544388868006892,South,0.24724780497369936,East
21,1/25/2018,16170,10600,3770,150,10000,29.36713936,0.154900991,0.319310806,-0.08693415,-1.773404689,-3.6254861,Barat,4.035977409780733,South West,0.33093343328317876,East
22,1/26/2018,24148,13230,6493,820,11484,29.50928393,0.147756244,0.298165843,-0.144047366,-0.804682143,-1.68951935,Barat,1.87136019656492,South West,0.3311382091867965,South East
23,1/27/2018,16181,14730,6280,160,11742,29.55713986,0.148374826,0.251646911,-0.157693502,1.942325597,-1.191708581,Barat,2.2787711747322152,South East,0.2969737503363991,South East
24,1/28/2018,6528,2410,1140,0,4715,29.46999671,0.15800173,0.260497277,-0.193748943,0.962002036,-3.246879293,Barat,3.386395290065873,South,0.3246497870598901,South East
25,1/29/2018,2450,2230,300,50,570,29.11785893,0.138503283,0.260322885,-0.221302792,1.847099364,-2.051227857,Barat,2.7603100879832354,South East,0.3416766456779253,South East
26,1/30/2018,13718,3640,840,0,5827,29.20000129,0.143683359,0.28068309,-0.239003529,2.722478736,-0.779386264,Barat,2.8318427598445566,East,0.3686538808779882,South East
27,1/31/2018,11520,4225,4030,0,5785,29.36000279,0.156733353,0.276628489,-0.231591892,-1.079131796,-3.2067224,Barat,3.383429323009415,South,0.3607743413361914,South East
28,2/1/2018,6700,4780,3620,710,3465,29.300716,0.161378862,0.226272948,-0.213019197,1.130647346,0.339239338,Barat,1.180443454581168,East,0.3107677996304242,South East
29,2/2/2018,28791,24311,9685,0,14906,29.35928121,0.161494954,0.262284789,-0.100144307,3.371254121,1.088098109,Barat,3.5425007894380007,East,0.2807529033960019,East
30,2/3/2018,6380,6530,1490,1080,2380,29.3521445,0.169310329,0.419716707,-0.074901142,4.882505936,0.982126998,Barat,4.980304976131054,East,0.42634762249580804,East
31,2/4/2018,3260,2760,1330,0,2550,29.37642571,0.153372332,0.529539739,-0.117409064,5.780924686,-0.620860814,Barat,5.814168760499212,East,0.5423995054289266,East
32,2/5/2018,5610,2515,1020,0,2070,29.35285493,0.167060217,0.573312001,-0.234774534,5.809869236,-1.457687375,Barat,5.98994432550534,East,0.6195205664911708,East
33,2/6/2018,3600,2530,1400,0,1470,29.52428557,0.173057674,0.614076006,-0.281642246,8.913626571,-0.610376934,Barat,8.934500470020495,East,0.675582486360353,South East
34,2/7/2018,561,665,310,0,350,29.24571443,0.185135254,0.580418444,-0.308585729,7.421973536,-1.873863758,Barat,7.654871426263816,East,0.6573512929004115,South East
35,2/8/2018,1571,1510,330,0,1510,29.20214193,0.185970712,0.487075414,-0.277892829,5.881800414,-1.391226399,Barat,6.044095217930064,East,0.5607734688204272,South East
36,2/9/2018,4187,2940,1395,400,2760,29.09928457,0.188283297,0.402233951,-0.244671252,3.4352343,-2.184635018,Barat,4.071052057855359,South East,0.47080375199473284,South East
37,2/10/2018,4421,4946,1432,0,4206,29.04928386,0.195198705,0.313294299,-0.200070626,3.847013421,-2.191777043,Barat,4.427572570560074,South East,0.3717278213611853,South East
38,2/11/2018,2343,1010,1345,80,1210,28.88285393,0.190844939,0.312291551,-0.157475508,6.523391936,-3.041351443,Barat,7.1975315873227,South East,0.34974926511122745,South East
39,2/12/2018,4295,3225,2620,0,1520,28.98357071,0.195619947,0.362298306,-0.116013933,8.211054129,0.110479803,Barat,8.211797348707462,East,0.3804198932503375,East
40,2/13/2018,6962,4540,1415,0,2680,29.15285829,0.184612614,0.435629921,-0.075816698,8.462115679,0.892569034,Barat,8.50905877551879,East,0.4421782443382865,East
41,2/14/2018,6837,6695,1840,1430,2529,28.9899945,0.187753721,0.411171524,-0.088634473,2.553043029,-1.038627278,Barat,2.756224833088038,East,0.4206163239253445,East
42,2/15/2018,5974,4052,2636,0,3377,29.13356886,0.175405527,0.343202438,-0.114836789,0.926175926,-1.956603129,Barat,2.1647396264480743,South East,0.36190523836630817,East
43,2/16/2018,21734,15951,8983,400,8790,29.25285343,0.181221194,0.233553794,-0.191525444,-1.622521282,-0.564156061,Barat,1.7178030654606362,West,0.30204200103825224,South East
44,2/17/2018,26569,31616,9558,160,12243,29.25142779,0.16878227,0.072546858,-0.1986755,-2.643646186,-2.85549775,Barat,3.891366412586639,South West,0.21150650322371217,South
45,2/18/2018,8243,5592,2263,0,3355,29.32999979,0.172913922,-0.042900305,-0.211188085,-5.365266421,-4.545294629,Barat,7.031769836444194,South West,0.21550137682868817,South
46,2/19/2018,5900,1370,3760,0,2285,29.09071364,0.148557291,-0.141344295,-0.149889483,-4.365460529,-1.686473889,Barat,4.679897414317513,West,0.20602200572524845,South West
47,2/20/2018,3540,1890,655,100,1462,29.17714371,0.153306488,-0.15276694,-0.101931824,-5.369590679,-2.173342564,Barat,5.792747358594,West,0.18365139449764756,South West
48,2/21/2018,5180,5070,2500,420,1950,29.1199995,0.16597973,-0.171601222,-0.027292267,-5.017955621,-3.2342123,Barat,5.9699252772372935,South West,0.17375801342641026,West
49,2/22/2018,13021,9767,5509,0,9566,29.17285793,0.191473676,-0.142085461,-0.036317028,-3.442793471,-3.97239855,Barat,5.256688798474029,South West,0.14665334892301404,West
50,2/23/2018,8206,9337,2402,1650,4100,29.14713829,0.184197312,-0.111872137,-0.091642726,-2.41076495,-2.60965125,Barat,3.5527548875168784,South West,0.1446159198209445,South West
51,2/24/2018,16151,9978,11859,170,14572,28.95642736,0.174331583,-0.035009091,-0.098095211,2.324555771,-1.366215897,Barat,2.6963132996194856,South East,0.10415520569698282,South
52,2/25/2018,16654,6306,2892,0,12412,29.07499914,0.177093783,0.124384727,-0.04438263,2.94134105,-1.470893372,Barat,3.2886189326537414,South East,0.13206580994557762,East
53,2/26/2018,8927,4561,2759,0,6450,29.05714193,0.180693077,0.129180491,-0.100841873,-1.21669377,-0.614096123,Barat,1.3628858272945843,South West,0.16388008605425253,South East
54,2/27/2018,2600,2320,2750,190,1310,29.62928343,0.199959887,0.042246339,-0.086105798,-1.666972578,-3.107273393,Barat,3.52618001733458,South West,0.09591121732164452,South East
55,2/28/2018,3809,3553,2491,0,2212,29.375,0.194055686,-0.021537349,-0.08946283,-4.368436321,-1.740833914,Barat,4.702524705598534,West,0.09201877717920783,South
56,3/1/2018,11604,7942,3662,130,6990,29.34499907,0.191141006,-0.032175227,-0.024589198,-1.009943986,-0.476403816,Peralihan 1,1.1166680127759234,South West,0.040495356410145754,South West
57,3/2/2018,24544,15538,10716,60,13309,29.27856657,0.181417286,0.018354704,-0.005580527,-3.367212236,-3.131448371,Peralihan 1,4.598270016267713,South West,0.019184301929581513,East
58,3/3/2018,7905,8016,5520,680,3870,29.28785714,0.162985122,0.035314275,-0.024371209,-0.07411821,-1.27566077,Peralihan 1,1.2778121572322738,South,0.04290750338690549,South East
59,3/4/2018,16772,10712,6388,0,9121,29.133571,0.170782211,-0.00858878,-0.060470249,-4.041584364,-1.377346669,Peralihan 1,4.269834659320508,West,0.061077149213191025,South
60,3/5/2018,1715,1820,700,0,1031,28.97642729,0.168117326,-0.055805274,-0.034355121,-3.245668643,-3.066038471,Peralihan 1,4.464857987193487,South West,0.06553245718832552,South West
61,3/6/2018,2000,280,350,0,1800,29.10142736,0.161863225,-0.019924227,-0.011509839,-0.208727587,-3.821823679,Peralihan 1,3.827519227768809,South,0.023009806938639226,South West
62,3/7/2018,3228,971,903,0,550,28.99928493,0.156713702,0.049483582,-0.050050355,-1.215531319,-1.366323719,Peralihan 1,1.8287582925504045,South West,0.07038226284495795,South East
63,3/8/2018,3888,1001,3532,0,1340,29.35928343,0.155404461,0.055369296,-0.100711085,2.20554625,-0.282464869,Peralihan 1,2.223560357424158,East,0.11492815834865207,South East
64,3/9/2018,13068,8738,4694,70,8606,29.179997,0.147698659,0.03849692,-0.149802283,-1.429674164,-2.075591517,Peralihan 1,2.5203270344642696,South West,0.15466976705710295,South
65,3/10/2018,12276,11238,4171,100,7227,29.171426,0.14093234,-0.075162728,-0.145268106,-4.094079643,-3.088758114,Peralihan 1,5.1285392471958176,South West,0.16356117602056186,South West
66,3/11/2018,3070,3131,2335,400,2866,29.2342835,0.153122517,-0.175612223,-0.095697324,-4.18865485,-4.382834464,Peralihan 1,6.062513289985819,South West,0.19999407663169103,South West
67,3/12/2018,6463,4511,2450,125,3630,29.13928214,0.141802014,-0.220648824,-0.013297351,-3.654448621,-2.920503357,Peralihan 1,4.678069535799684,South West,0.2210491417676173,West
68,3/13/2018,1775,991,1605,0,882,29.1685725,0.138860711,-0.224572631,0.041505173,-1.987570736,-4.025653643,Peralihan 1,4.48957956650762,South West,0.2283758874750618,West
